os,fcs,generalEnd,ltssEnd
caasp_3.0_x86_64,20180331,20200331,20200331
sles_12.3_aarch64,20170907,20190630,20220630
sles_12.3_ppc64le,20170907,20190630,20220630
sles_12.3_x86_64,20170907,20190630,20220630
sles_12.4_aarch64,20181212,20200630,20230630
sles_12.4_ppc64le,20181212,20200630,20230630
sles_12.4_x86_64,20181212,20200630,20230630
sles_12.5_aarch64,20191209,20241031,20271031
sles_12.5_ppc64le,20191209,20241031,20271031
sles_12.5_x86_64,20191209,20241031,20271031
sles_15_aarch64,20180716,20191231,20221231
sles_15_ppc64le,20180716,20191231,20221231
sles_15_x86_64,20180716,20191231,20221231
sles_15.1_aarch64,20190624,20210131,20240131
sles_15.1_ppc64le,20190624,20210131,20240131
sles_15.1_x86_64,20190624,20210131,20240131
sles_15.2_aarch64,20200721,99999999,99999999 
sles_15.2_ppc64le,20200721,99999999,99999999
sles_15.2_x86_64,20200721,99999999,99999999
